time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	v_ground_truth	yaw_groundtruth	yawrate_groundtruth
1477010445850000	14.8508	3.18723	5.20145	0.507779	0.270598	radar	3.68871	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	5.02257	0.546812	0.366307
1477010445900000	15.0605	3.38002	5.22942	0.551064	0.305158	lidar	1.15627	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	5.01757	0.565128	0.371433
1477010445950000	15.2712	3.54555	5.1885	0.582315	0.327019	radar	2.65916	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	5.01256	0.583699	0.376501
1477010446000000	15.4861	3.73388	5.22524	0.616632	0.347712	lidar	0.653988	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	5.00754	0.602525	0.381509
1477010446050000	15.6968	3.86842	5.20096	0.627286	0.340487	radar	0.990227	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	5.00251	0.6216	0.386458
1477010446100000	15.9186	4.01215	5.2074	0.637635	0.332714	lidar	0.19865	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	4.99749	0.640923	0.391345
1477010446150000	16.1136	4.17184	5.12494	0.662862	0.348146	radar	1.74243	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	4.99246	0.66049	0.39617
1477010446200000	16.3109	4.36727	5.1571	0.694806	0.364798	lidar	0.408982	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	4.98744	0.680299	0.400933
1477010446250000	16.5212	4.53196	5.18389	0.70831	0.358175	radar	0.633096	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	4.98243	0.700345	0.405632
1477010446300000	16.6987	4.69888	5.15991	0.728764	0.361218	lidar	0.505804	16.6039	4.67344	16.613	4.5849	3.74	3.28438	4.97743	0.720627	0.410268
1477010446350000	16.8521	4.88208	5.00537	0.768904	0.398314	radar	4.18988	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	4.97244	0.74114	0.414838
1477010446400000	17.0155	5.10865	5.04611	0.810747	0.423368	lidar	0.727719	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	4.96747	0.761882	0.419343
1477010446450000	17.1861	5.2737	5.00372	0.826921	0.419769	radar	1.58293	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	4.96252	0.782849	0.423782
1477010446500000	17.3436	5.45547	4.98868	0.848889	0.420956	lidar	0.175148	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	4.9576	0.804038	0.428154
1477010446550000	17.5007	5.61795	4.92269	0.864959	0.418587	radar	2.98084	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	4.9527	0.825446	0.432459
1477010446600000	17.6907	5.74259	4.87501	0.855385	0.383981	lidar	1.4881	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	4.94783	0.847069	0.436695
1477010446650000	17.8365	5.93127	4.81966	0.883529	0.399472	radar	0.841987	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	4.943	0.868904	0.440862
1477010446700000	18.0085	6.12642	4.8502	0.900167	0.395626	lidar	0.826945	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	4.9382	0.890947	0.444959
1477010446750000	18.16	6.33085	4.87689	0.922778	0.398058	radar	0.792596	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	4.93344	0.913195	0.448987
1477010446800000	18.281	6.57339	4.91748	0.964772	0.42306	lidar	0.781077	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	4.92872	0.935644	0.452943
1477010446850000	18.4143	6.78347	4.90978	0.990923	0.430589	radar	0.266878	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	4.92404	0.958291	0.456828
1477010446900000	18.5601	6.9203	4.82407	0.986544	0.401478	lidar	1.6403	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	4.91942	0.981133	0.46064
1477010446950000	18.7104	7.12699	4.88645	0.997241	0.385356	radar	0.752011	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	4.91484	1.00417	0.46438
1477010447000000	18.9056	7.26815	4.84578	0.976863	0.340864	lidar	3.78114	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	4.91032	1.02738	0.468047
1477010447050000	18.9962	7.46285	4.7339	1.01266	0.370726	radar	3.77972	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	4.90586	1.05079	0.47164
1477010447100000	19.0864	7.73319	4.80775	1.06182	0.405125	lidar	1.57164	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	4.90145	1.07437	0.475158
1477010447150000	19.2086	7.93808	4.81697	1.07624	0.396563	radar	0.267844	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	4.89711	1.09813	0.478601
1477010447200000	19.2871	8.15713	4.80194	1.10866	0.410511	lidar	1.32728	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	4.89283	1.12206	0.481969
1477010447250000	19.3871	8.36664	4.81731	1.12495	0.400903	radar	2.20502	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	4.88863	1.14615	0.48526
1477010447300000	19.4812	8.51268	4.70131	1.12821	0.382198	lidar	3.37403	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	4.88449	1.17042	0.488475
1477010447350000	19.5743	8.71688	4.66596	1.14925	0.387308	radar	0.482915	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	4.88042	1.19484	0.491613
1477010447400000	19.7338	8.89513	4.6511	1.13681	0.352344	lidar	4.04703	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	4.87643	1.21942	0.494673
1477010447450000	19.81	9.11153	4.60908	1.16757	0.373084	radar	0.972076	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	4.87252	1.24416	0.497655
1477010447500000	19.9379	9.34494	4.66478	1.17735	0.363573	lidar	3.2184	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	4.86868	1.26904	0.500558
1477010447550000	19.9869	9.55896	4.57812	1.21784	0.399228	radar	2.54374	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	4.86493	1.29407	0.503383
1477010447600000	20.0719	9.80618	4.63365	1.24228	0.404326	lidar	0.968679	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	4.86127	1.31923	0.506127
1477010447650000	20.1334	10.0563	4.70027	1.26965	0.407794	radar	7.30729	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	4.85769	1.34454	0.508793
1477010447700000	20.18	10.337	4.78269	1.30978	0.429487	lidar	1.11869	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	4.85421	1.36998	0.511377
1477010447750000	20.198	10.5685	4.71993	1.35533	0.466484	radar	2.98548	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	4.85081	1.39555	0.513881
1477010447800000	20.2546	10.8493	4.80712	1.38508	0.473501	lidar	2.16805	20.371	11.0109	20.1663	10.864	0.722256	4.7934	4.84751	1.42124	0.516304
1477010447850000	20.283	11.1081	4.85085	1.41576	0.478537	radar	4.90607	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.84431	1.44706	0.518645
1477010447900000	20.3171	11.3481	4.8511	1.43979	0.478652	lidar	2.9882e-005	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	4.8412	1.47299	0.520904
1477010447950000	20.2659	11.5913	4.75685	1.51332	0.55552	radar	10.8393	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	4.8382	1.49904	0.523081
1477010448000000	20.3364	11.8336	4.77465	1.51881	0.531707	lidar	4.7207	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.83529	1.52519	0.525176
1477010448050000	20.3612	12.0691	4.82205	1.52574	0.493892	radar	3.62912	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	4.83249	1.55145	0.527187
1477010448100000	20.3458	12.3632	4.9158	1.56561	0.509667	lidar	1.14453	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	4.8298	1.57781	0.529115
1477010448150000	20.2975	12.5985	4.84509	1.62219	0.561431	radar	3.34151	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	4.82722	1.60426	0.53096
1477010448200000	20.3227	12.8371	4.83818	1.63424	0.544579	lidar	1.81621	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	4.82474	1.63081	0.532721
1477010448250000	20.3116	13.0653	4.80704	1.65977	0.545835	radar	2.0918	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	4.82237	1.65745	0.534397
1477010448300000	20.2777	13.276	4.75717	1.68863	0.54766	lidar	0.987936	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	4.82012	1.68417	0.53599
1477010448350000	20.2399	13.5094	4.76411	1.71517	0.542462	radar	1.28851	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	4.81798	1.71097	0.537498
1477010448400000	20.2171	13.7725	4.81169	1.73785	0.537641	lidar	1.33969	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	4.81595	1.73784	0.53892
1477010448450000	20.1631	13.997	4.77924	1.77348	0.553663	radar	0.861787	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	4.81404	1.76479	0.540258
1477010448500000	20.1055	14.2566	4.8291	1.80398	0.556456	lidar	0.388992	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	4.81225	1.7918	0.54151
